
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #15 (nearly) zero elements are specified in sparse col '' (16) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (17) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (18) of matrix 'A'.
MOSEK warning 710: #12 (nearly) zero elements are specified in sparse col '' (19) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #8 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #7 (nearly) zero elements are specified in sparse col '' (24) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
MOSEK warning 710: #5 (nearly) zero elements are specified in sparse col '' (26) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 822             
  Cones                  : 1               
  Scalar variables       : 515             
  Matrix variables       : 0               
  Integer variables      : 256             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 1.25
Presolved problem: 507 variables, 309 constraints, 6902 non-zeros
Presolved problem: 0 general integer, 249 binary, 258 continuous
Clique table size: 288
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   3.4131422593e+01     NA          1.9   
Cut generation started.
0        2        0        0        NA                   3.4131422593e+01     NA          2.9   
Cut generation terminated. Time = 0.22
279585   252451   164056   34       1.1900189120e+02     5.6453455846e+01     52.56       541.6 
281990   254627   165441   45       1.1900189120e+02     5.6493516838e+01     52.53       545.3 
284422   256796   166807   70       1.1900189120e+02     5.6528850341e+01     52.50       549.9 
286826   258974   168191   43       1.1900189120e+02     5.6567225138e+01     52.47       554.5 
289229   261140   169514   39       1.1900189120e+02     5.6598648084e+01     52.44       558.4 
291656   263311   170867   19       1.1900189120e+02     5.6627690334e+01     52.41       563.7 
294081   265478   172252   46       1.1900189120e+02     5.6659431456e+01     52.39       567.9 
296455   267585   173518   26       1.1892351706e+02     5.6694451389e+01     52.33       572.1 
298873   269751   174816   43       1.1892351706e+02     5.6706839935e+01     52.32       577.2 
301309   271924   176180   40       1.1892351706e+02     5.6757862189e+01     52.27       581.1 
303689   274091   177566   62       1.1892351706e+02     5.6781429011e+01     52.25       584.6 
306130   276265   178939   60       1.1892351706e+02     5.6829275326e+01     52.21       589.5 
308549   278445   180324   67       1.1892351706e+02     5.6852020797e+01     52.19       593.2 
310944   280611   181703   54       1.1892351706e+02     5.6889716119e+01     52.16       597.0 
313362   282796   183147   66       1.1892351706e+02     5.6920980034e+01     52.14       602.1 
315744   284971   184543   50       1.1892351706e+02     5.6951104956e+01     52.11       606.1 
318188   287137   185867   41       1.1892351706e+02     5.6973327656e+01     52.09       610.3 
320585   289311   187242   46       1.1892351706e+02     5.7006608353e+01     52.06       615.1 
322999   291480   188584   27       1.1892351706e+02     5.7044686236e+01     52.03       618.8 
325421   293650   189930   26       1.1892351706e+02     5.7059833708e+01     52.02       623.8 
327822   295821   191319   31       1.1892351706e+02     5.7092115131e+01     51.99       628.5 
330231   297998   192686   27       1.1892351706e+02     5.7136410551e+01     51.96       631.6 
332599   300172   194074   39       1.1892351706e+02     5.7162940223e+01     51.93       636.6 
335038   302339   195405   38       1.1892351706e+02     5.7203459857e+01     51.90       641.3 
337479   304510   196740   61       1.1892351706e+02     5.7230613499e+01     51.88       645.2 
339882   306671   198081   67       1.1892351706e+02     5.7250491599e+01     51.86       650.0 
342226   308791   199423   30       1.1892351706e+02     5.7282864393e+01     51.83       654.6 
344609   310965   200834   35       1.1892351706e+02     5.7306546396e+01     51.81       658.5 
347024   313137   202233   65       1.1892351706e+02     5.7331703550e+01     51.79       663.1 
349457   315312   203574   49       1.1892351706e+02     5.7371549887e+01     51.76       667.3 
351913   317487   204896   53       1.1892351706e+02     5.7401496129e+01     51.73       671.7 
354358   319666   206233   35       1.1892351706e+02     5.7423160073e+01     51.71       676.4 
356766   321835   207583   31       1.1892351706e+02     5.7453672891e+01     51.69       680.1 
359197   324005   208944   34       1.1892351706e+02     5.7478608677e+01     51.67       684.1 
361611   326177   210292   47       1.1892351706e+02     5.7515284383e+01     51.64       688.3 
364034   328348   211651   45       1.1892351706e+02     5.7541887811e+01     51.61       692.7 
366474   330522   213059   57       1.1892351706e+02     5.7575944590e+01     51.59       697.5 
368935   332682   214396   34       1.1892351706e+02     5.7597193128e+01     51.57       702.2 
371352   334856   215795   63       1.1892351706e+02     5.7630475734e+01     51.54       705.7 
373786   337017   217117   35       1.1892351706e+02     5.7652869709e+01     51.52       710.8 
376229   339193   218514   39       1.1892351706e+02     5.7690406066e+01     51.49       715.2 
378628   341358   219827   64       1.1892351706e+02     5.7711043951e+01     51.47       719.0 
381024   343531   221145   41       1.1892351706e+02     5.7729113501e+01     51.46       724.7 
383364   345655   222515   26       1.1892351706e+02     5.7760586763e+01     51.43       728.6 
385802   347822   223875   33       1.1892351706e+02     5.7785614827e+01     51.41       732.9 
388253   349988   225220   74       1.1892351706e+02     5.7808472268e+01     51.39       737.5 
390667   352160   226560   41       1.1892351706e+02     5.7834918094e+01     51.37       741.6 
393077   354328   227936   29       1.1892351706e+02     5.7862295681e+01     51.34       746.0 
395481   356505   229370   39       1.1892351706e+02     5.7893223497e+01     51.32       750.8 
397931   358671   230678   54       1.1892351706e+02     5.7904846802e+01     51.31       754.7 
400357   360840   232026   14       1.1892351706e+02     5.7938640183e+01     51.28       759.6 
402816   363013   233307   20       1.1892351706e+02     5.7962858355e+01     51.26       764.2 
405253   365187   234702   30       1.1892351706e+02     5.7978335943e+01     51.25       768.1 
407684   367351   236055   39       1.1892351706e+02     5.8013315442e+01     51.22       773.1 
410086   369517   237399   46       1.1892351706e+02     5.8033803053e+01     51.20       777.7 
412528   371686   238697   51       1.1892351706e+02     5.8056453961e+01     51.18       781.5 
414960   373856   240037   31       1.1892351706e+02     5.8082845561e+01     51.16       786.6 
417376   376021   241337   32       1.1892351706e+02     5.8111447870e+01     51.14       791.4 
419834   378187   242715   25       1.1892351706e+02     5.8132587970e+01     51.12       794.5 
422230   380300   244005   52       1.1892351706e+02     5.8154214973e+01     51.10       798.9 
424645   382463   245346   44       1.1892351706e+02     5.8171714647e+01     51.08       803.5 
427081   384639   246740   38       1.1892351706e+02     5.8205721556e+01     51.06       807.1 
429527   386813   248102   19       1.1892351706e+02     5.8230252911e+01     51.04       811.3 
431967   388985   249476   26       1.1892351706e+02     5.8257907036e+01     51.01       815.9 
434415   391161   250836   23       1.1892351706e+02     5.8280131245e+01     50.99       819.8 
436847   393331   252154   69       1.1892351706e+02     5.8298830967e+01     50.98       823.8 
439278   395501   253507   70       1.1892351706e+02     5.8320844951e+01     50.96       828.9 
441686   397671   254839   38       1.1892351706e+02     5.8350665277e+01     50.93       833.0 
444104   399841   256219   36       1.1892351706e+02     5.8369369717e+01     50.92       837.9 
446527   402009   257542   37       1.1892351706e+02     5.8391530494e+01     50.90       842.9 
448934   404178   258885   38       1.1892351706e+02     5.8417177430e+01     50.88       846.8 
451324   406343   260219   31       1.1892351706e+02     5.8438069656e+01     50.86       851.3 
453768   408516   261581   31       1.1892351706e+02     5.8462225478e+01     50.84       855.6 
456185   410675   262844   53       1.1892351706e+02     5.8483750106e+01     50.82       859.6 
458575   412847   264210   30       1.1892351706e+02     5.8503645337e+01     50.81       864.9 
460947   415009   265612   31       1.1892351706e+02     5.8527736301e+01     50.79       868.7 
463309   417126   266908   28       1.1892351706e+02     5.8546182566e+01     50.77       872.8 
465711   419292   268216   37       1.1892351706e+02     5.8562984550e+01     50.76       877.6 
468118   421464   269527   65       1.1892351706e+02     5.8583487532e+01     50.74       881.1 
470514   423634   270839   69       1.1892351706e+02     5.8607238708e+01     50.72       885.8 
472894   425801   272217   84       1.1892351706e+02     5.8628373563e+01     50.70       890.0 
475266   427959   273485   40       1.1892351706e+02     5.8643789894e+01     50.69       893.8 
477675   430123   274800   39       1.1892351706e+02     5.8670111782e+01     50.67       898.6 
480086   432292   276157   36       1.1892351706e+02     5.8690059860e+01     50.65       902.9 
482494   434458   277493   41       1.1892351706e+02     5.8712004858e+01     50.63       906.5 
484879   436628   278866   47       1.1892351706e+02     5.8726609652e+01     50.62       910.6 
487275   438791   280166   23       1.1892351706e+02     5.8748483368e+01     50.60       915.0 
489686   440961   281551   72       1.1892351706e+02     5.8773890558e+01     50.58       918.6 
492073   443120   282830   59       1.1892351706e+02     5.8786034762e+01     50.57       923.0 
494480   445293   284211   37       1.1892351706e+02     5.8810792891e+01     50.55       927.8 
496900   447471   285571   29       1.1892351706e+02     5.8828789340e+01     50.53       931.5 
499317   449634   286912   37       1.1892351706e+02     5.8845032264e+01     50.52       936.0 
501728   451798   288239   29       1.1892351706e+02     5.8868420930e+01     50.50       940.1 
504054   453914   289529   59       1.1892351706e+02     5.8890033145e+01     50.48       943.5 
506446   456072   290843   26       1.1892351706e+02     5.8905173466e+01     50.47       947.6 
508858   458240   292165   38       1.1892351706e+02     5.8926456459e+01     50.45       952.5 
511260   460410   293503   46       1.1892351706e+02     5.8944551738e+01     50.43       956.1 
513657   462577   294912   40       1.1892351706e+02     5.8958765463e+01     50.42       960.2 
516063   464744   296272   16       1.1892351706e+02     5.8980789704e+01     50.40       964.9 
518468   466909   297633   61       1.1892351706e+02     5.8998402898e+01     50.39       968.2 
520853   469083   298992   36       1.1892351706e+02     5.9015107524e+01     50.38       971.4 
523235   471246   300324   78       1.1892351706e+02     5.9037865293e+01     50.36       975.0 
525615   473406   301634   43       1.1892351706e+02     5.9050184846e+01     50.35       978.2 
527990   475570   302989   46       1.1892351706e+02     5.9073029038e+01     50.33       981.3 
530377   477740   304284   49       1.1892351706e+02     5.9081446184e+01     50.32       986.0 
532788   479905   305645   42       1.1892351706e+02     5.9114258341e+01     50.29       989.4 
535178   482071   306981   43       1.1892351706e+02     5.9129417907e+01     50.28       992.5 
537575   484238   308314   35       1.1892351706e+02     5.9146877671e+01     50.26       996.4 
539980   486400   309627   59       1.1892351706e+02     5.9159179272e+01     50.25       999.7 
542292   488510   310981   51       1.1892351706e+02     5.9182036092e+01     50.24       1003.4
544697   490671   312310   64       1.1892351706e+02     5.9196571291e+01     50.22       1007.3
547081   492838   313660   21       1.1892351706e+02     5.9212003527e+01     50.21       1010.3
549465   495007   314976   65       1.1892351706e+02     5.9232091412e+01     50.19       1014.7
551853   497172   316320   22       1.1892351706e+02     5.9242578171e+01     50.18       1018.4
554243   499344   317684   58       1.1892351706e+02     5.9266954397e+01     50.16       1021.0
556637   501500   318972   51       1.1892351706e+02     5.9277639314e+01     50.15       1024.9
559054   503672   320329   25       1.1892351706e+02     5.9295483858e+01     50.14       1028.7
561464   505844   321689   39       1.1892351706e+02     5.9311974904e+01     50.13       1031.3
563837   508003   323028   40       1.1892351706e+02     5.9326938125e+01     50.11       1035.1
566196   510166   324351   27       1.1892351706e+02     5.9345770809e+01     50.10       1038.7
568584   512336   325687   29       1.1892351706e+02     5.9358050002e+01     50.09       1041.4
570974   514491   326993   36       1.1892351706e+02     5.9378257631e+01     50.07       1045.9
573350   516664   328399   63       1.1892351706e+02     5.9397354058e+01     50.05       1049.4
575759   518831   329728   56       1.1892351706e+02     5.9408900052e+01     50.04       1053.0
578144   521001   331063   49       1.1892351706e+02     5.9425998518e+01     50.03       1057.1
580523   523161   332418   56       1.1892351706e+02     5.9440072013e+01     50.02       1060.0
582854   525269   333735   34       1.1892351706e+02     5.9456418115e+01     50.00       1063.6
585263   527436   335038   23       1.1892351706e+02     5.9468218784e+01     49.99       1067.5
587661   529601   336414   22       1.1892351706e+02     5.9487541079e+01     49.98       1070.6
590045   531759   337654   65       1.1892351706e+02     5.9501459459e+01     49.97       1073.1
592461   533928   339042   28       1.1892351706e+02     5.9518271993e+01     49.95       1077.2
594864   536086   340347   43       1.1892351706e+02     5.9530152512e+01     49.94       1081.3
597206   538253   341701   38       1.1892351706e+02     5.9549012371e+01     49.93       1085.1
599580   540418   343035   24       1.1892351706e+02     5.9563274276e+01     49.91       1089.4
601976   542587   344345   30       1.1892351706e+02     5.9577980821e+01     49.90       1094.0
604378   544752   345733   62       1.1892351706e+02     5.9591312791e+01     49.89       1098.1
606780   546913   347047   44       1.1892351706e+02     5.9608018821e+01     49.88       1102.2
609178   549079   348451   53       1.1892351706e+02     5.9623128977e+01     49.86       1106.8
611555   551249   349826   38       1.1892351706e+02     5.9636249790e+01     49.85       1110.7
613952   553417   351171   34       1.1892351706e+02     5.9649052441e+01     49.84       1115.3
616336   555588   352517   31       1.1892351706e+02     5.9666016960e+01     49.83       1121.1
618709   557743   353854   66       1.1892351706e+02     5.9682650229e+01     49.81       1124.4
621117   559920   355256   36       1.1892351706e+02     5.9697375768e+01     49.80       1127.9
623486   562091   356597   35       1.1892351706e+02     5.9711478412e+01     49.79       1133.4
625842   564192   357839   45       1.1892351706e+02     5.9726988427e+01     49.78       1137.4
628239   566365   359188   30       1.1892351706e+02     5.9739549809e+01     49.77       1142.2
630627   568520   360542   37       1.1892351706e+02     5.9755779508e+01     49.75       1146.8
633023   570684   361920   36       1.1892351706e+02     5.9770554352e+01     49.74       1151.2
