
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 3118            
  Cones                  : 0               
  Scalar variables       : 653             
  Matrix variables       : 0               
  Integer variables      : 601             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 0.41
Presolved problem: 652 variables, 1601 constraints, 5818 non-zeros
Presolved problem: 0 general integer, 601 binary, 51 continuous
Clique table size: 50
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   2.1539041689e+02     NA          0.8   
Cut generation started.
154447   153166   95526    17       NA                   2.1619667310e+02     NA          108.0 
156108   154814   96549    41       NA                   2.1619682747e+02     NA          109.1 
157807   156501   97552    36       NA                   2.1619782340e+02     NA          110.0 
159499   158177   98562    24       NA                   2.1620121284e+02     NA          111.0 
161156   159819   99553    36       NA                   2.1620129353e+02     NA          112.1 
162835   161490   100572   53       NA                   2.1620329688e+02     NA          113.1 
164553   163186   101588   62       NA                   2.1620373233e+02     NA          114.1 
166232   164849   102639   79       NA                   2.1620403161e+02     NA          115.2 
167916   166522   103623   41       NA                   2.1620408462e+02     NA          116.4 
169551   168149   104638   55       NA                   2.1620497459e+02     NA          117.4 
171125   169715   105578   21       NA                   2.1620611848e+02     NA          118.4 
172803   171379   106612   67       NA                   2.1620632134e+02     NA          119.8 
174526   173093   107599   31       NA                   2.1620648094e+02     NA          121.2 
176198   174753   108639   76       NA                   2.1620648196e+02     NA          122.7 
177891   176429   109690   35       NA                   2.1620653438e+02     NA          123.7 
179611   178130   110660   13       NA                   2.1620774615e+02     NA          124.9 
181260   179764   111713   44       NA                   2.1620779056e+02     NA          125.8 
182939   181432   112700   54       NA                   2.1620860295e+02     NA          126.6 
184561   183038   113762   38       NA                   2.1620860309e+02     NA          127.5 
186259   184718   114758   39       NA                   2.1620870760e+02     NA          128.4 
187909   186360   115846   16       NA                   2.1620904659e+02     NA          129.4 
189564   188003   116851   33       NA                   2.1620910503e+02     NA          130.2 
191248   189673   117869   62       NA                   2.1621011354e+02     NA          131.1 
192950   191360   118833   51       NA                   2.1621328906e+02     NA          132.2 
194617   193015   119832   51       NA                   2.1621330506e+02     NA          133.2 
196337   194720   120834   81       NA                   2.1621334859e+02     NA          134.3 
197847   196221   121794   60       NA                   2.1621351108e+02     NA          135.4 
199509   197878   122822   74       NA                   2.1621456968e+02     NA          136.5 
201194   199547   123827   28       NA                   2.1621532679e+02     NA          137.5 
202862   201208   124857   38       NA                   2.1621542429e+02     NA          138.8 
204529   202859   125856   52       NA                   2.1621555303e+02     NA          140.0 
206203   204508   126846   70       NA                   2.1621800577e+02     NA          141.1 
207886   206176   127907   30       NA                   2.1622076317e+02     NA          142.3 
209523   207802   128902   95       NA                   2.1622096510e+02     NA          143.6 
211246   209494   129831   52       NA                   2.1622236492e+02     NA          144.7 
212851   211089   130856   31       NA                   2.1622308097e+02     NA          145.8 
214565   212791   131844   44       NA                   2.1622313252e+02     NA          146.8 
216242   214456   132903   60       NA                   2.1622326545e+02     NA          147.8 
217919   216123   133850   39       NA                   2.1622440998e+02     NA          148.9 
219551   217738   134914   55       NA                   2.1622441886e+02     NA          149.9 
221256   219425   135901   56       NA                   2.1622446461e+02     NA          150.9 
222899   221062   136986   38       NA                   2.1622453428e+02     NA          152.1 
224474   222621   137859   54       NA                   2.1622470241e+02     NA          153.4 
226112   224249   138909   69       NA                   2.1622583351e+02     NA          154.5 
227787   225917   139922   43       NA                   2.1622593849e+02     NA          155.8 
229474   227588   140919   34       NA                   2.1622843617e+02     NA          157.0 
231142   229237   141917   47       NA                   2.1622845943e+02     NA          158.3 
232849   230931   142934   64       NA                   2.1622929557e+02     NA          159.5 
234434   232507   143969   40       NA                   2.1622937544e+02     NA          160.6 
236220   234266   144953   20       NA                   2.1622954534e+02     NA          161.5 
237897   235928   145968   34       NA                   2.1622975786e+02     NA          162.6 
239630   237648   146891   42       NA                   2.1623088365e+02     NA          163.6 
241284   239289   147941   43       NA                   2.1623095404e+02     NA          164.7 
242961   240947   148918   47       NA                   2.1623250898e+02     NA          165.7 
244648   242628   149981   68       NA                   2.1623369927e+02     NA          166.7 
246280   244250   151033   70       NA                   2.1623371074e+02     NA          167.7 
247996   245948   152031   87       NA                   2.1623372125e+02     NA          168.8 
249616   247554   153033   22       NA                   2.1623373958e+02     NA          169.8 
251274   249194   154063   46       NA                   2.1623375359e+02     NA          170.8 
252818   250730   154987   45       NA                   2.1623439374e+02     NA          171.8 
254498   252396   155923   42       NA                   2.1623443296e+02     NA          172.8 
256170   254055   156921   55       NA                   2.1623562866e+02     NA          173.8 
257794   255672   157925   26       NA                   2.1623564711e+02     NA          174.8 
259488   257349   158925   36       NA                   2.1623799677e+02     NA          175.9 
261154   259002   159943   16       NA                   2.1623799775e+02     NA          177.0 
262808   260647   160927   24       NA                   2.1623800030e+02     NA          178.2 
264405   262233   161874   47       NA                   2.1623800216e+02     NA          179.4 
266050   263862   162875   34       NA                   2.1623801326e+02     NA          180.5 
267712   265508   163899   61       NA                   2.1623907473e+02     NA          181.6 
269378   267167   164951   21       NA                   2.1623988136e+02     NA          182.8 
271036   268811   165995   38       NA                   2.1624096174e+02     NA          183.8 
272737   270498   166948   36       NA                   2.1624096227e+02     NA          184.8 
274410   272149   167935   66       NA                   2.1624152884e+02     NA          185.9 
276071   273799   168938   20       NA                   2.1624157621e+02     NA          186.9 
277717   275432   169930   64       NA                   2.1624157621e+02     NA          188.0 
279405   277109   170912   72       NA                   2.1624311037e+02     NA          188.9 
280901   278599   171896   53       NA                   2.1624318921e+02     NA          190.0 
282522   280216   172921   21       NA                   2.1624323364e+02     NA          191.0 
284207   281877   173928   45       NA                   2.1624380012e+02     NA          192.0 
285881   283533   174946   30       NA                   2.1624423198e+02     NA          193.0 
287586   285215   175965   59       NA                   2.1624424374e+02     NA          194.3 
289264   286877   176951   33       NA                   2.1624519719e+02     NA          195.6 
290901   288506   177996   84       NA                   2.1624520880e+02     NA          197.0 
292596   290188   179015   28       NA                   2.1624523748e+02     NA          198.4 
294308   291877   180023   27       NA                   2.1624587643e+02     NA          199.5 
295985   293540   181016   46       NA                   2.1624689584e+02     NA          200.7 
297660   295191   181997   18       NA                   2.1624692917e+02     NA          202.0 
299361   296870   183024   52       NA                   2.1624705117e+02     NA          203.1 
301058   298538   184083   55       NA                   2.1624708833e+02     NA          204.2 
302770   300228   185115   64       NA                   2.1624715379e+02     NA          205.3 
304457   301903   186132   20       NA                   2.1624720689e+02     NA          206.2 
306109   303541   187164   11       NA                   2.1624882819e+02     NA          207.2 
307781   305191   188104   44       NA                   2.1624882819e+02     NA          208.4 
309385   306779   189098   47       NA                   2.1624958654e+02     NA          209.5 
311065   308450   190092   71       NA                   2.1624961291e+02     NA          210.4 
312759   310122   191096   21       NA                   2.1624962905e+02     NA          211.5 
314416   311767   192121   47       NA                   2.1625011692e+02     NA          212.7 
316103   313439   193090   33       NA                   2.1625069493e+02     NA          213.9 
317775   315092   194100   49       NA                   2.1625075243e+02     NA          214.9 
319464   316764   195131   33       NA                   2.1625123735e+02     NA          215.8 
321102   318396   196169   55       NA                   2.1625127154e+02     NA          216.7 
322740   320020   197177   52       NA                   2.1625130711e+02     NA          217.9 
324407   321674   198172   59       NA                   2.1625138422e+02     NA          218.9 
326073   323328   199158   67       NA                   2.1625265005e+02     NA          219.9 
327747   324995   200188   45       NA                   2.1625265005e+02     NA          220.9 
329439   326674   201206   63       NA                   2.1625276951e+02     NA          221.9 
331128   328347   202239   54       NA                   2.1625309586e+02     NA          223.0 
332806   330007   203269   33       NA                   2.1625367436e+02     NA          224.1 
334485   331666   204262   32       NA                   2.1625457828e+02     NA          225.2 
336154   333326   205251   24       NA                   2.1625490784e+02     NA          226.3 
337852   335016   206299   31       NA                   2.1625491648e+02     NA          227.6 
339430   336577   207197   41       NA                   2.1625496947e+02     NA          228.8 
341148   338282   208159   52       NA                   2.1625497605e+02     NA          229.9 
342810   339932   209163   57       NA                   2.1625499530e+02     NA          231.1 
344503   341606   210142   72       NA                   2.1625717780e+02     NA          232.2 
346201   343294   211182   28       NA                   2.1625766501e+02     NA          233.3 
347885   344967   212158   54       NA                   2.1625770279e+02     NA          234.5 
349555   346623   213146   26       NA                   2.1625771234e+02     NA          235.7 
351191   348248   214130   65       NA                   2.1625862817e+02     NA          236.9 
352858   349899   215117   28       NA                   2.1625874269e+02     NA          238.0 
354524   351556   216125   29       NA                   2.1625876233e+02     NA          239.0 
356219   353246   217062   44       NA                   2.1625879848e+02     NA          240.2 
357842   354856   218111   35       NA                   2.1625966085e+02     NA          241.3 
359523   356522   219134   60       NA                   2.1625970701e+02     NA          242.4 
361164   358156   220103   58       NA                   2.1626039395e+02     NA          243.5 
362835   359821   221110   44       NA                   2.1626044562e+02     NA          244.4 
364510   361488   222073   51       NA                   2.1626158496e+02     NA          245.4 
366155   363113   223074   40       NA                   2.1626163610e+02     NA          246.4 
367733   364679   223996   46       NA                   2.1626170026e+02     NA          247.4 
369344   366287   225011   26       NA                   2.1626323368e+02     NA          248.4 
371085   368011   225930   42       NA                   2.1626324975e+02     NA          249.5 
372748   369668   226971   61       NA                   2.1626331578e+02     NA          250.5 
374463   371363   227932   27       NA                   2.1626331578e+02     NA          251.7 
376139   373026   228964   29       NA                   2.1626334534e+02     NA          252.7 
377783   374665   229970   44       NA                   2.1626337766e+02     NA          253.8 
379445   376310   230958   60       NA                   2.1626533204e+02     NA          255.0 
381084   377944   231939   47       NA                   2.1626574716e+02     NA          256.1 
382797   379650   232914   62       NA                   2.1626586389e+02     NA          257.1 
384491   381334   233916   60       NA                   2.1626592542e+02     NA          258.1 
386164   382984   235003   31       NA                   2.1626593515e+02     NA          259.0 
387869   384666   235990   43       NA                   2.1626601854e+02     NA          260.0 
389519   386304   237004   59       NA                   2.1626638754e+02     NA          260.9 
391207   387978   237960   49       NA                   2.1626710642e+02     NA          261.9 
392874   389636   238981   53       NA                   2.1626712706e+02     NA          262.9 
394570   391323   239963   64       NA                   2.1626716905e+02     NA          263.9 
396168   392905   240873   27       NA                   2.1626718475e+02     NA          265.0 
397878   394598   241967   41       NA                   2.1626721031e+02     NA          266.1 
399576   396280   242957   58       NA                   2.1626843213e+02     NA          267.3 
401231   397923   243954   19       NA                   2.1626945453e+02     NA          268.5 
